keys,ru,en,tr,fr,it
UI_PLAY,"▶  ИГРАТЬ","▶  PLAY","▶  OYNA","▶  JOUER","▶  GIOCA"
UI_SETTINGS,"⚙  НАСТРОЙКИ","⚙  SETTINGS","⚙  AYARLAR","⚙  PARAMÈTRES","⚙  IMPOSTAZIONI"
UI_PERKS,"✦  ПЕРКИ","✦  PERKS","✦  YETENEKLER","✦  COMPÉTENCES","✦  POTENZIAMENTI"
UI_SOUND_TOOLTIP,"Все звуки и музыка вкл/выкл","Toggle all sound and music","Tüm ses ve müzikleri aç/kapat","Activer/désactiver tous les sons et musiques","Attiva/disattiva audio e musica"
UI_LEVEL_SELECT,"🧬 ВЫБОР УРОВНЯ","🧬 LEVEL SELECT","🧬 BÖLÜM SEÇİMİ","🧬 SÉLECTION DU NIVEAU","🧬 SELEZIONE LIVELLO"
UI_BACK_TO_MENU,"← НАЗАД В МЕНЮ","← BACK TO MENU","← MENÜYE DÖN","← RETOUR AU MENU","← TORNA AL MENU"
UI_BACK,"← НАЗАД","← BACK","← GERİ","← RETOUR","← INDIETRO"
UI_CHAPTER,"ГЛАВА %d","CHAPTER %d","BÖLÜM %d","CHAPITRE %d","CAPITOLO %d"
UI_LEVELS_RANGE,"Уровни %d-%d","Levels %d-%d","Seviyeler %d-%d","Niveaux %d-%d","Livelli %d-%d"
UI_CHAPTER_LOCKED,"🔒 Глава откроется при достижении %d ⭐ (нужно еще %d)","🔒 Chapter unlocks at %d ⭐ (%d more needed)","🔒 Bölüm %d ⭐ ile açılır (%d daha gerekli)","🔒 Chapitre débloqué à %d ⭐ (encore %d requis)","🔒 Il capitolo si sblocca a %d ⭐ (ancora %d necessari)"
UI_SELECT_DIFFICULTY,"ВЫБЕРИ СЛОЖНОСТЬ","SELECT DIFFICULTY","ZORLUK SEÇİMİ","CHOISIR LA DIFFICULTÉ","SCEGLI LA DIFFICOLTÀ"
UI_DIFFICULTY_SUBTITLE,"Каждая сложность даст разное число звезд","Each difficulty awards a different number of stars","Her zorluk farklı sayıda yıldız kazandırır","Chaque difficulté rapporte un nombre d'étoiles différent","Ogni difficoltà assegna un numero diverso di stelle"
UI_DIFF_EASY,"ЛЕГКИЙ","EASY","KOLAY","FACILE","FACILE"
UI_DIFF_EASY_DESC,"Меньше врагов, медленная реакция ИИ","Fewer enemies, slower AI reaction","Daha az düşman, yavaş YZ tepkisi","Moins d'ennemis, réaction IA plus lente","Meno nemici, reazione IA più lenta"
UI_DIFF_MEDIUM,"СРЕДНИЙ","MEDIUM","ORTA","MOYEN","MEDIO"
UI_DIFF_MEDIUM_DESC,"Стандартный сбалансированный бой","Standard balanced combat","Standart dengeli savaş","Combat équilibré standard","Combattimento bilanciato standard"
UI_DIFF_HARD,"СЛОЖНЫЙ","HARD","ZOR","DIFFICILE","DIFFICILE"
UI_DIFF_HARD_DESC,"Усиленный старт врага, агрессивный ИИ","Stronger enemy start, aggressive AI","Güçlü düşman başlangıcı, agresif YZ","Départ ennemi renforcé, IA agressive","Inizio nemico potenziato, IA aggressiva"
UI_CANCEL,"✖ ОТМЕНА","✖ CANCEL","✖ İPTAL","✖ ANNULER","✖ ANNULLA"
UI_SETTINGS_HEADER,"⚙  НАСТРОЙКИ","⚙  SETTINGS","⚙  AYARLAR","⚙  PARAMÈTRES","⚙  IMPOSTAZIONI"
UI_SOUNDS,"🔊  Звуки","🔊  Sounds","🔊  Sesler","🔊  Sons","🔊  Effetti"
UI_MUSIC,"🎵  Музыка","🎵  Music","🎵  Müzik","🎵  Musique","🎵  Musica"
UI_LANGUAGE,"🌐  Язык","🌐  Language","🌐  Dil","🌐  Langue","🌐  Lingua"
UI_DONE,"✓  ГОТОВО","✓  DONE","✓  TAMAM","✓  TERMINÉ","✓  FATTO"
UI_PERKS_HEADER,"✦  ПЕРКИ","✦  PERKS","✦  YETENEKLER","✦  COMPÉTENCES","✦  POTENZIAMENTI"
UI_PERKS_SUBTITLE,"Нажми на перк, чтобы прочитать как он работает","Select a perk to read how it works","Nasıl çalıştığını okumak için bir yeteneğe tıkla","Cliquez sur une compétence pour voir son fonctionnement","Seleziona un potenziamento per scoprire come funziona"
UI_PERK_COST,"Стоимость","Cost","Maliyet","Coût","Costo"
UI_PERK_COOLDOWN,"Перезарядка","Cooldown","Bekleme Süresi","Recharge","Ricarica"
UI_SECONDS_SHORT,"%sс","%ss","%ss","%ss","%ss"
PERK_SHIELD_TITLE,"ЩИТ","SHIELD","KALKAN","BOUCLIER","SCUDO"
PERK_SHIELD_SUB,"Щит колонии","Colony shield","Koloni kalkanı","Bouclier de colonie","Scudo della colonia"
PERK_SHIELD_DESC,"Создает защиту вокруг центра колонии и прикрывает соседние клетки. Щит отражает обычные снаряды и помогает пережить вражеский залп.","Creates a protective barrier around the colony center protecting adjacent cells. Reflects normal projectiles and withstands enemy barrages.","Koloni merkezinin etrafında komşu hücreleri koruyan bir kalkan oluşturur. Normal mermileri yansıtır ve düşman saldırılarına dayanır.","Crée une barrière protectrice autour du centre de la colonie pour protéger les cellules voisines. Renvoie les projectiles normaux.","Crea una barriera protettiva attorno al centro della colonia proteggendo le cellule adiacenti. Riflette i proiettili normali."
PERK_SPEED_TITLE,"СПРИНТ","SPRINT","DEPAR","SPRINT","SCATTO"
PERK_SPEED_SUB,"Общий буст","Speed boost","Hız takviyesi","Boost de vitesse","Aumento velocità"
